num,epoch,resx,resy,resz,x,y,z
0,8.045255,-0.251000,-0.180000,0.002000,-0.059352,-0.273889,-0.538861
1,8.045313,-0.070511,-0.187449,-0.220024,-0.019216,-0.222871,-0.335365
2,8.045370,0.075839,-0.276919,0.305317,-0.085931,-0.430794,-0.260023
3,8.045428,0.092773,-0.097095,-0.257730,0.350238,1.015425,1.149710
4,8.045486,0.661839,-0.820218,0.162701,0.064116,-0.004770,0.113809
5,8.045544,0.164021,-0.154971,0.203629,0.084624,0.038419,0.162303
6,8.045602,0.172028,-0.333710,-0.241727,0.105645,0.045329,0.218262
7,8.045660,0.001114,-0.406578,-0.631872,0.261908,0.227132,-0.105714
8,8.045718,-0.027903,-0.558189,0.048418,0.135344,0.142185,-0.159582
9,8.045775,-0.255378,-0.436522,-0.262427,0.120373,0.068046,0.160179
10,8.045833,-0.365231,-0.279165,-0.082786,0.071555,0.052646,0.132245
11,8.045891,-0.381388,-0.371132,-0.204949,0.126539,0.068557,0.209430
12,8.045949,-0.332663,-0.313589,-0.836941,0.110801,0.055245,0.217731
13,8.046007,-0.353584,-0.280456,0.233338,0.074077,0.027520,0.202400
14,8.046065,-0.414539,-0.420072,0.002771,0.061717,0.027010,0.185084
15,8.046123,-0.231559,-0.214779,-0.303721,-0.004714,-0.053471,0.114363
16,8.046181,-0.266491,-0.034233,-0.869187,0.105160,0.085012,0.212684
17,8.046238,-0.212107,-0.277035,-0.258682,0.103380,0.072094,0.233827
18,8.046296,-0.224802,-0.307947,-0.650208,0.095233,0.078353,0.237781
19,8.046354,-0.270164,-0.550962,-0.225621,-0.105193,-0.429310,-0.678112
20,8.046412,-0.290301,-0.153516,-0.482011,0.027983,-0.159278,-0.063772
21,8.046470,-0.235673,-0.224995,-0.186507,0.063012,-0.103297,0.030003
22,8.046528,-0.328631,-0.423810,0.366519,0.058736,0.017770,0.133100
23,8.046586,-0.197580,-0.456859,-0.502327,0.120207,0.188970,0.388219
24,8.046644,-0.155355,-0.436438,-0.305259,0.173773,0.430732,0.665534
25,8.046701,-0.093543,-0.514029,-0.406314,0.019347,-0.313576,-0.152625
26,8.046759,-0.188953,0.287943,-0.301358,0.194113,0.449160,0.649733
27,8.046817,-0.009550,-0.291849,-0.267810,-0.009706,0.006608,-0.041868
28,8.046875,-0.081474,0.243230,-0.117900,0.076207,-0.006237,0.136234
29,8.046933,-0.079290,0.287301,0.350157,-0.107683,-0.347984,-0.428197
30,8.046991,-0.098004,0.543518,-0.291815,0.095684,-0.137741,0.042560
31,8.047049,-0.081886,0.397685,0.295374,0.062763,0.182881,0.309641
32,8.047106,-0.121779,-0.037321,0.237165,0.040571,-0.033047,0.055939
33,8.047164,-0.044165,0.106817,-0.223532,0.022720,-0.018366,0.079154
34,8.047222,-0.008349,0.066010,-0.010483,0.025560,-0.011941,0.075883
35,8.047280,-0.164739,-0.023900,-0.402304,0.066551,-0.016187,0.132191
36,8.047338,-0.035791,-0.017158,0.206971,0.037011,-0.020374,0.112928
37,8.047396,-0.017153,-0.415688,0.203401,0.039528,-0.012815,0.117613
38,8.047454,-0.083553,-0.320936,-0.148631,0.164745,0.000614,0.290045
39,8.047512,-0.217521,-0.405671,0.076332,0.071537,-0.008448,0.144861
40,8.047569,-0.179448,-0.182784,-0.579799,0.068440,-0.011184,0.140214
41,8.047627,-0.169178,-0.018347,-0.790204,0.070085,-0.033986,0.152842
42,8.047685,-0.187227,0.008846,-0.643295,0.182395,0.046767,0.538587
43,8.047743,-0.209111,-0.010480,-0.564100,-0.001723,-0.018932,0.087818
44,8.047801,0.085040,0.075169,-0.639513,0.041115,-0.007777,0.090973
45,8.047859,0.002966,0.074988,-0.566074,0.036487,-0.027838,0.229808
46,8.047917,0.021544,-0.005694,-0.162715,0.055500,-0.008207,0.083378
47,8.047975,-0.011469,0.157924,0.104578,0.025147,-0.016543,0.136653
48,8.048032,-0.064177,0.142889,-0.171113,-0.057483,-0.021809,-0.019605
49,8.048090,-0.076846,-0.015169,0.097647,0.027243,-0.015084,0.107421
50,8.048148,-0.160149,-0.137783,-0.497968,0.040420,-0.012724,0.116501
51,8.048206,-0.164044,-0.089021,-0.296031,0.042052,-0.016166,0.147656
52,8.048264,-0.314049,-0.058089,-0.201341,0.038689,-0.009849,0.114528
53,8.048322,-0.228376,-0.234367,-0.290854,0.039535,-0.011597,0.109233
54,8.048380,-0.344761,-0.364140,-0.197817,0.040950,-0.011976,0.107949
55,8.048437,-0.337550,-0.294501,-0.236336,0.012249,-0.089837,0.605077
56,8.048495,-0.321991,-0.327740,-0.644961,0.037455,-0.013974,0.117180
57,8.048553,-0.073847,-0.225316,-0.058823,-0.021370,-0.033693,0.130770
58,8.048611,-0.092270,0.034442,-0.010061,-0.026991,-0.031225,0.077960
59,8.048669,-0.013104,0.190134,-0.182041,0.018654,-0.012478,0.051837
60,8.048727,-0.098885,0.351553,0.023243,0.024604,-0.014094,0.093389
61,8.048785,-0.169787,0.427730,0.024671,0.024863,-0.013561,0.088550
62,8.048843,-0.058370,0.388432,-0.346759,0.057868,-0.011448,0.179866
63,8.048900,-0.168866,0.143602,0.218904,0.029515,-0.012324,0.092598
64,8.048958,-0.223365,0.243320,-0.517766,0.030321,-0.011988,0.089443
65,8.049016,-0.173844,0.287844,0.132919,0.027673,-0.013122,0.087375
66,8.049074,-0.054385,0.358771,-0.056507,-0.108775,-0.039677,-0.109849
67,8.049132,0.161657,0.399134,0.453526,0.022459,-0.014303,0.080069
68,8.049190,0.049971,0.251595,-0.221552,0.025931,-0.011732,0.078931
69,8.049248,0.192809,0.126575,0.341963,0.048034,0.020308,0.010358
70,8.049306,0.513643,0.227462,-0.243825,0.026577,-0.009829,0.070019
71,8.049363,0.510878,0.378292,0.665237,0.024868,-0.010986,0.069435
72,8.049421,0.512365,0.426002,0.209624,0.023387,-0.010393,0.068936
73,8.049479,0.270856,0.468660,0.666467,0.023664,-0.011059,0.069876
74,8.049537,0.411050,0.486931,0.058749,0.021850,-0.011949,0.067992
75,8.049595,0.304094,0.576723,0.371544,0.023241,-0.011666,0.069196
76,8.049653,0.184151,0.300459,0.615994,0.022503,-0.010766,0.067895
77,8.049711,0.048561,0.409142,-0.010707,0.015581,-0.012691,0.058267
78,8.049769,0.038988,0.436644,0.282177,0.021223,-0.011856,0.062361
79,8.049826,-0.034973,0.448824,-0.342052,-0.004068,-0.018364,-0.005792
80,8.049884,-0.063171,0.365861,-0.173187,0.027283,-0.013233,0.088885
81,8.049942,-0.099871,0.275112,-0.115857,0.029410,-0.010212,0.083709
82,8.050000,-0.057980,0.290488,0.447807,0.035120,-0.005628,0.084613
83,8.050058,-0.120771,0.176042,-0.632580,0.025840,-0.007145,0.056140
84,8.050116,-0.060195,0.178679,-0.239281,0.029637,-0.008706,0.077084
85,8.050174,-0.031474,0.028971,0.103021,0.013371,-0.013546,0.041033
86,8.050231,-0.082884,-0.085535,-0.342460,0.026784,-0.002382,0.036767
87,8.050289,0.061884,-0.173373,0.025351,0.018333,-0.010915,0.050045
88,8.050347,0.040646,-0.096388,0.477980,0.019392,-0.013246,0.062678
89,8.050405,0.039569,-0.002253,0.133073,0.018920,-0.015867,0.059074
90,8.050463,-0.046965,-0.042999,-0.022943,0.015767,-0.012108,0.076551
91,8.050521,-0.172500,0.065218,0.023268,0.018173,-0.011801,0.063331
92,8.050579,-0.126757,0.232740,0.004769,0.017026,-0.012277,0.061788
93,8.050637,-0.264944,0.246252,-0.074994,0.026391,-0.010353,0.071508
94,8.050694,-0.157856,0.410065,0.189359,0.019542,-0.009872,0.064716
95,8.050752,-0.198594,0.442513,-0.097207,0.024338,-0.011001,0.069499
96,8.050810,-0.180432,0.458729,-0.272469,0.021936,-0.010949,0.064589
97,8.050868,-0.143714,0.280444,-0.515191,0.020999,-0.010294,0.063938
98,8.050926,-0.021512,0.292121,-0.185869,0.014809,-0.012950,0.044181
99,8.050984,-0.002753,0.133900,0.673634,0.016199,-0.012463,0.050190
100,8.051042,0.158343,-0.066367,-0.176575,0.020635,-0.011661,0.060213
101,8.051100,0.163792,-0.148307,-0.274513,0.019237,-0.012483,0.062897
102,8.051157,0.184589,0.019611,-0.314773,0.018768,-0.012958,0.065090
103,8.051215,0.387129,0.090487,0.504189,0.019417,-0.010257,0.052572
